PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the FXR agonist mode screen and the cell viability and auto fluorescence counter screens.,Type of compound activity in the ratio readout of the FXR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the FXR agonist mode screen.,Percent activation in the ratio readout of the FXR agonist mode screen.,Type of compound activity in the 530 nm readout of the FXR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the FXR agonist mode screen.,Percent activation in the 530 nm readout of the FXR agonist mode screen.,Type of compound activity in the 460 nm readout of the FXR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the FXR agonist mode screen.,Percent activation in the 460 nm readout of the FXR agonist mode screen.,Type of activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition in the cell viability screen.,Percent inhibition in the cell viability counter screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,,,,,,,
1,144205501,17931,CN1C(=S)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Specs
2,144206117,3045407,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)COC6=CC=C(C=C6)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,28.1774,-38.1657,inactive,Specs
3,144206325,14708,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=NON=C5C4)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
4,144206326,3085168,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SS/C(=C(/C)\N(CC2=CN=C(N=C2N)C)C=O)/CCO)/C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
5,144206328,54158,CC1=CC(=C(C(=C1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ACC
6,144206329,92140,CCCC(=O)OC[C@H]([C@H]([C@H](CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,Inactive,0,,,inactive,inactive,,0,active agonist,19.948,51.4519,inactive,,0,inconclusive agonist,,,inactive,ACC
7,144206330,6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,ACC
8,144206333,54708862,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].O.O.O.O.[Mg+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,ACC
9,144206369,11956149,C[C@@H](C(=O)C1=CC=CC=C1)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,RTI
10,144206371,3058692,C[C@H]1[C@H](OC(=N1)N)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
11,144206375,71580,COC1=CC(=CC(=C1OC)OC)CCN.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
12,144206376,110689,CC(CC1=CC(=C(C(=C1)OC)OC)OC)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,RTI
13,144206379,60196312,C[C@H]1[C@@H]2CC3=C([C@]1(CCN2C)C)C=C(C=C3)O.C[C@H]1[C@@H]2CC3=C([C@]1(CCN2C)C)C=C(C=C3)O.C(=C/C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
14,144206380,3041255,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
15,144206382,92942,C[C@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
16,144206383,13493,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
17,144206384,166642340,CCC(C(C[C@H](C)NC)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,48.9575,-89.6654,inactive,RTI
18,144206385,3030770,CCC(=O)OC1(CCN(CC1)C)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
19,144206386,60977,CC(=O)OC1(CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
20,144206389,62300,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
21,144206390,119057604,CCC(=O)N([C@H]1CCN(C[C@H]1C)CCC2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
22,144206392,60196318,CCC(=O)N(C1CCN(CC1)CC2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
23,144206393,60196319,CCC1=CC(=C(C=C1OC)C[C@H](C)N)OC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
24,144206395,43398,CC(CC1=CC2=C(C(=C1)OC)OCO2)[NH3+].[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
25,144206396,60196321,CCC(=O)N(C1CCN(CC1)CC(C2=CC=CC=C2)O)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,34.8556,inactive,,0,inactive,,0,inactive,RTI
26,144206397,60196322,CCC(=O)N(C1CCN(CC1)C(C)CC2=CC=CS2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,,13.7883,inactive,,0,inactive,RTI
27,144206398,91864482,CCC(=O)N([C@H]1CCN(C[C@H]1C)CCC2=CC=CS2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,9.50544,inconclusive agonist,,,inactive,RTI
28,144206399,46783063,CCC(=O)N(C1CCN(CC1)CC2=CC=CS2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
29,144206400,60196324,CCC(=O)N(C1CCN(CC1)CCC2=CC=CS2)C3=CC=CC=C3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
30,144206401,60196325,CC1=CC(=C(C=C1OC)C[C@@H](C)N)OC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
31,144206403,62786,CC(CC1=C(C=CC(=C1)OC)OC)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,RTI
32,144206405,60196328,CC(CC1=CC2=C(C=C1)OCO2)NO.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,RTI
33,144206411,60196330,CCN[C@@H](C)CC1=CC=CC=C1.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
34,144206412,31331,CC(CC(C#N)(C1=CC=CC=C1)C2=CC=CC=C2)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,1.36159,-53.9748,inactive,RTI
35,144206414,6321225,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.O.O.O.O.O.OS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
36,144206415,21124389,C1CN[C@@H]2CC3=C4[C@@]15[C@H]2C=C[C@@H]([C@@H]5OC4=C(C=C3)O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
37,144206418,16219349,CCN[C@H](C)CC1=CC(=CC=C1)C(F)(F)F.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,RTI
38,144206419,2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
39,144206420,31143,CCC[C@@H](C)C1(C(=O)NC(=O)NC1=O)CC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
40,144206423,9567,CC1=NC2=CC=CC=C2C(=O)N1C3=CC=CC=C3Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,,inactive,RTI
41,144206425,5761,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,,inconclusive,RTI
42,144206427,60196332,C[C@H](CC1=CC(=C(C=C1OC)Br)OC)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,RTI
43,144206428,12626562,CC(CC1=CC(=C(C=C1OC)Br)OC)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
44,144206430,12259683,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O.C(CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,RTI
45,144206431,64761,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
46,144206432,65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,40,,,active agonist,active agonist,,16.5706,inactive,,0,active agonist,41.6111,23.3233,inactive,,0,inactive,RTI
47,144206433,24802109,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
48,144206434,200391,C1CCC(CC1)(C2=CC=CC=C2)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,RTI
